YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1952,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,7.27,999.90,999.90,999.90,999.90,999.90
1953,7.83,9.98,7.27,10.67,999.90,999.90,25.28,26.58,22.22,16.03,999.90,999.90,8.36,11.62,25.20,16.32,15.37
1954,999.90,999.90,999.90,10.73,20.58,24.88,27.83,27.38,24.63,19.72,13.18,8.38,999.90,13.15,26.70,19.18,16.60
1955,7.23,11.63,9.08,13.63,19.38,23.47,27.38,27.13,23.22,18.42,13.42,8.88,9.08,14.03,25.99,18.35,16.86
1956,7.58,6.63,6.83,14.08,16.88,22.43,24.33,26.03,21.03,16.58,12.78,7.27,7.70,12.60,24.26,16.80,15.34
1957,4.43,7.52,9.68,13.38,20.58,21.83,24.72,25.13,23.88,15.98,10.03,7.89,6.41,14.55,23.89,16.63,15.37
1958,8.09,9.04,12.24,13.69,20.64,24.04,24.69,25.19,22.49,17.08,7.54,7.84,8.34,15.52,24.64,15.70,16.05
1959,6.93,4.04,7.14,15.54,19.19,22.29,25.64,25.34,21.59,16.54,9.39,5.79,6.27,13.96,24.42,15.84,15.12
1960,8.89,8.94,5.44,12.74,18.94,24.09,24.94,25.09,23.49,19.69,12.49,8.19,7.87,12.37,24.71,18.56,15.88
1961,6.18,6.84,9.09,14.24,22.49,25.19,25.34,25.24,21.69,17.08,13.14,10.99,7.07,15.27,25.26,17.30,16.23
1962,6.24,9.09,12.54,13.24,19.94,23.04,27.79,26.64,22.89,17.74,10.74,9.14,8.77,15.24,25.82,17.12,16.74
1963,9.44,9.14,9.64,14.99,18.04,23.64,25.89,25.38,23.19,17.97,9.82,5.67,9.24,14.22,24.97,16.99,16.36
1964,1.61,6.22,7.87,11.22,19.57,24.82,24.57,24.02,21.77,15.52,13.02,5.37,4.50,12.89,24.47,16.77,14.66
1965,4.32,7.26,7.87,13.02,19.46,23.67,25.92,25.72,22.02,16.62,13.66,9.42,5.65,13.45,25.10,17.43,15.41
1966,10.62,9.17,10.37,14.91,18.82,24.82,26.96,28.27,22.37,16.41,13.77,10.32,9.74,14.70,26.68,17.52,17.16
1967,8.16,5.26,9.37,13.12,20.72,22.47,24.67,26.37,21.92,16.87,13.52,8.97,7.91,14.40,24.50,17.44,16.06
1968,8.82,6.62,8.92,12.07,21.02,21.77,25.22,25.07,24.47,19.32,12.97,8.26,8.14,14.00,24.02,18.92,16.27
1969,1.62,1.67,6.51,11.77,18.52,24.42,23.87,25.42,22.02,16.37,10.12,9.82,3.85,12.27,24.57,16.17,14.21
1970,5.72,9.27,10.66,15.07,21.52,22.32,25.72,25.42,21.27,17.62,13.82,7.51,8.27,15.75,24.49,17.57,16.52
1971,5.87,7.57,10.97,13.32,20.77,22.92,27.17,25.92,24.27,17.82,13.77,9.22,6.98,15.02,25.34,18.62,16.49
1972,1.27,1.52,6.32,16.37,17.96,25.12,27.62,25.87,23.82,20.42,13.82,4.52,4.00,13.55,26.20,19.35,15.78
1973,3.07,8.62,8.97,14.72,20.12,22.32,25.32,26.71,20.32,18.22,12.12,7.22,5.40,14.60,24.78,16.89,15.42
1974,3.76,4.47,7.76,12.47,20.42,24.12,24.12,24.82,21.62,19.02,14.96,8.12,5.15,13.55,24.35,18.53,15.40
1975,6.96,6.17,9.82,16.91,21.57,25.96,27.77,25.87,24.32,17.16,10.72,7.17,7.08,16.10,26.53,17.40,16.78
1976,8.72,3.52,5.97,14.87,19.37,23.52,24.92,27.52,24.27,15.62,11.12,8.51,6.47,13.40,25.32,17.00,15.55
1977,1.52,7.76,10.87,16.37,19.57,25.12,25.57,25.37,23.12,15.02,12.82,8.01,5.93,15.60,25.35,16.99,15.97
1978,7.12,6.57,11.37,15.97,16.87,21.21,25.92,25.07,24.62,19.02,9.57,10.17,7.23,14.74,24.07,17.74,15.94
1979,6.51,7.82,10.12,15.07,19.02,22.71,26.57,26.97,25.12,20.17,13.72,9.92,8.17,14.74,25.42,19.67,17.00
1980,5.82,4.62,8.67,16.22,19.92,24.12,28.02,25.87,22.17,16.87,14.91,10.72,6.79,14.94,26.00,17.98,16.43
1981,9.57,9.12,11.67,13.42,19.32,23.72,25.97,27.02,24.27,19.12,14.82,11.82,9.80,14.80,25.57,19.40,17.39
1982,6.07,5.52,8.01,17.37,18.92,23.02,26.77,24.72,23.52,16.77,9.77,7.17,7.80,14.77,24.84,16.69,16.02
1983,6.12,8.47,9.67,16.32,21.87,23.82,27.72,25.92,22.02,17.32,14.47,9.37,7.25,15.95,25.82,17.94,16.74
1984,7.77,3.97,8.32,15.12,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,7.04,14.37,999.90,999.90,999.90
1985,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1986,7.92,7.77,6.97,15.07,20.27,25.17,26.77,26.87,24.52,18.77,11.37,7.42,8.35,14.10,26.27,18.22,16.74
1987,8.81,8.07,9.47,12.87,20.37,25.67,26.42,26.82,22.37,14.67,11.82,9.31,8.10,14.24,26.30,16.29,16.23
1988,6.17,7.07,10.67,14.72,19.02,25.92,26.57,25.22,23.22,19.02,13.62,9.47,7.52,14.80,25.90,18.62,16.71
1989,4.72,4.82,10.97,15.71,20.42,24.72,27.82,27.77,23.57,19.52,14.32,9.22,6.34,15.70,26.77,19.14,16.99
1990,5.17,7.22,9.87,15.57,18.97,25.17,26.97,25.92,24.67,18.07,14.77,7.77,7.20,14.80,26.02,19.17,16.80
1991,6.92,6.12,8.56,15.52,19.21,23.97,28.02,27.22,23.17,19.76,12.52,7.81,6.94,14.43,26.40,18.48,16.56
1992,5.02,6.37,8.17,13.51,17.32,24.52,25.92,24.12,22.37,17.52,13.51,8.17,6.40,13.00,24.85,17.80,15.51
1993,6.17,5.57,9.82,15.26,19.77,23.67,25.97,26.47,23.37,16.87,9.22,7.57,6.64,14.95,25.37,16.49,15.86
1994,7.27,5.12,9.27,15.37,20.12,22.32,25.72,26.07,22.07,17.46,14.22,6.97,6.65,14.92,24.70,17.92,16.05
1995,8.46,8.41,10.57,16.12,21.32,25.06,26.67,27.22,24.07,16.62,14.22,7.52,7.95,16.00,26.32,18.30,17.14
1996,5.21,999.90,7.87,12.75,20.97,23.12,26.85,26.55,23.64,17.31,11.62,9.43,6.30,13.86,25.51,17.52,15.80
1997,999.90,6.07,999.90,14.99,20.04,999.90,999.90,26.90,22.08,20.02,11.74,999.90,7.31,15.01,999.90,17.95,16.57
1998,5.39,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1999,999.90,999.90,999.90,999.90,999.90,23.88,25.97,28.69,23.16,19.01,11.03,999.90,999.90,999.90,26.18,17.73,999.90
2000,999.90,999.90,999.90,999.90,20.50,23.46,27.83,28.01,24.45,17.02,11.61,9.27,999.90,999.90,26.43,17.69,999.90
2001,999.90,9.01,11.54,999.90,999.90,999.90,26.94,27.49,24.80,17.68,13.58,999.90,8.70,999.90,26.48,18.69,17.39
2002,7.31,8.77,11.69,14.42,18.37,24.82,28.47,27.07,25.25,22.36,14.46,5.27,8.54,14.83,26.79,20.69,17.71
2003,7.77,7.97,8.37,13.21,999.90,22.92,26.22,27.57,24.32,21.52,12.35,9.82,7.00,13.44,25.57,19.40,16.35
2004,8.71,9.72,11.97,14.17,19.73,25.27,25.37,27.77,23.57,18.72,14.47,7.42,9.42,15.29,26.14,18.92,17.44
2005,6.73,6.53,11.96,17.25,20.37,24.87,28.37,27.77,25.16,20.41,13.07,10.71,6.89,16.53,27.00,19.55,17.49
2006,4.28,9.08,12.16,15.69,20.62,28.24,27.80,29.92,25.03,22.15,14.08,6.11,8.02,16.16,28.65,20.42,18.31
2007,7.52,7.37,9.06,13.31,20.94,25.19,26.62,27.86,25.37,18.09,13.62,7.62,7.00,14.44,26.56,19.03,16.75
2008,1.92,6.07,14.51,17.62,20.37,24.47,999.90,28.67,25.77,18.35,12.63,8.18,5.20,17.50,26.95,18.92,17.14
2009,6.43,9.98,11.82,12.53,20.78,25.78,28.48,25.51,23.83,19.01,13.20,9.53,8.20,15.04,26.59,18.68,17.13
2010,8.48,8.06,10.66,14.49,21.08,28.38,30.09,28.57,25.09,20.97,13.40,10.85,8.69,15.41,29.01,19.82,18.23
2011,7.41,6.83,9.55,15.01,20.67,25.77,29.93,27.56,23.79,17.40,8.58,6.28,8.36,15.08,27.75,16.59,16.95
2012,6.59,4.55,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.81,999.90,999.90,999.90,999.90
2013,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2014,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2015,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.31,7.78,999.90,999.90,999.90,999.90,999.90
2016,8.54,8.42,12.02,15.30,21.92,26.36,27.54,28.78,24.60,17.23,9.51,7.63,8.25,16.41,27.56,17.11,17.33
2017,6.65,6.24,11.07,14.89,21.99,26.31,29.00,29.64,26.67,18.50,14.26,8.63,6.84,15.98,28.32,19.81,17.74
2018,7.32,8.84,13.43,14.09,22.35,26.31,31.00,28.46,25.32,18.74,12.37,9.90,8.26,16.62,28.59,18.81,18.07
2019,7.91,8.14,11.37,14.76,22.99,28.51,28.04,27.16,23.41,19.42,10.85,9.89,8.65,16.37,27.90,17.89,17.70
2020,7.06,9.16,11.80,13.85,21.44,27.12,28.63,25.94,24.71,18.33,12.02,6.65,8.70,15.70,27.23,18.35,17.50
2021,6.96,8.20,10.84,17.78,22.40,28.21,29.61,30.15,26.10,17.26,11.47,9.89,7.27,17.01,29.32,18.28,17.97
2022,7.52,9.29,10.75,16.72,19.74,27.29,28.00,28.55,26.06,21.58,13.62,8.30,8.90,15.74,27.95,20.42,18.25
2023,4.73,8.04,13.98,17.19,22.32,26.34,999.90,999.90,999.90,999.90,999.90,999.90,7.02,17.83,999.90,999.90,999.90
