Row	station_id	date	t	qt	td	qtd	twet	qtwet	u	qu	tmin	qtmin	tmax	qtmax	dd	qdd	ff	qff	dd_max	qdd_max	ff_max	qff_max	dd_gust	qdd_gust	ff_gust	qff_gust	p	qp	p0	qp0	ppp	qppp	a	qa	ir	qir	rrr	qrrr	rrrt	qrrrt	rrr24	qrrr24	ix	qix	ww	qww	w1	qw1	w2	qw2	vv	qvv	sshn	qsshn	n	qn	h	qh	nh	qnh	cl	qcl	cm	qcm	ch	qch	Ns1	qNs1	C1	qC1	hs1	qhs1	Ns2	qNs2	C2	qC2	hs2	qhs2	Ns3	qNs3	C3	qC3	hs3	qhs3	Ns4	qNs4	C4	qC4	hs4	qhs4	radglo24	qradglo24	evt	qevt	tsoil	qtsoil	e	qe	esnow	qesnow	ess	qess	ss	qss	tusoil005	qtusoil005	tusoil010	qtusoil010	tusoil020	qtusoil020	tusoil030	qtusoil030	tusoil050	qtusoil050	tusoil100	qtusoil100	musoil005	qmusoil005	musoil010	qmusoil010	musoil020	qmusoil020	musoil030	qmusoil030	musoil050	qmusoil050	musoil070	qmusoil070	musoil100	qmusoil100	ew	qew	ews	qews	tmin_12h	qtmin_12h	tmax_12h	qtmax_12h	contentmessage
1-Smiley face	99369	2024-02-01 00:00:00	-4.1	111115	-6.2	111115	-4.6	111115	86	111515		999999		999999	110	111515	1	111115		999999		999999		999999		999999	1025.1	111115	796.9	111115	-1.1	111515	7	111515	1	111555	0.0	111155	6	115555	0.7	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.87	115555	4.51	115555		999999		999999	AAXX 01001 99369 16/// /1101 11041 21062 37969 40251 57011 60001 333 70007 555 11046 29086=
2-Smiley face	99369	2024-02-01 03:00:00	-3.8	111115	-6.0	111115	-4.4	111115	84	111515	-6.0	313155	-2.0	111155	160	111515	1	111115		999999		999999		999999		999999	1025.5	111115	796.7	111115	-0.2	111515	5	111515	4	111555		999999		999999	0.7	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.2	115155	0.1	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.88	115555	4.61	115555	-6.0	115555	-2.0	115555	AAXX 01031 99369 46/// /1601 11038 21060 37967 40255 55002 333 11020 21060 70007 555 11044 29085 66666 00002 10001 2//// 3//// 5//// 9////=
3-Smiley face	99369	2024-02-01 04:00:00	-4.2	111115	-5.8	111115		999999		999999		999999		999999	200	313515	4	313115		999999		999999		999999		999999	1026.7	111115	797.1	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2002 11042 21058 37971 40267 53005 333 60005 555 11045 29089
4-Smiley face	99369	2024-02-01 05:00:00	-3.3	111115	-5.0	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1026.9	111115	797.2	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /0000 11033 21050 37972 40269 51008 333 69925 555 11037 29088
5-Smiley face	99369	2024-02-01 06:00:00	-1.3	111115	-4.0	111115	-2.2	111115	82	111515		999999		999999	210	111515	2	111115		999999		999999		999999		999999	1025.4	111115	797.1	111115	0.4	111515	0	111515	1	111555	0.3	111155	6	115555	1.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.57	115555	5.55	115555		999999		999999	AAXX 01061 99369 16/// /2102 11013 21040 37971 40254 50004 69931 333 3//// 5//// 70010 555 11022 29082=
6-Smiley face	99369	2024-02-01 07:00:00	-2.0	111115	-4.6	111115		999999		999999		999999		999999	90	111515	2	111115		999999		999999		999999		999999	1025.7	111115	796.8	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /0901 11020 21046 37968 40257 58003 333 60005 555 11028 29082
7-Smiley face	99369	2024-02-01 08:00:00		999999		999999		999999		999999		999999		999999	100	313515	4	313115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /1002 1//// 2//// 3//// 4//// 5//// 333 6//// 555 1//// 29///
8-Smiley face	99369	2024-02-01 09:00:00	-1.8	111115	-3.3	111115	-2.3	111115	89	111515		999999		999999	170	111515	1	111115		999999		999999		999999		999999	1025.0	111115	795.8	111115	-1.3	111515	7	111515	4	111555		999999		999999	1.2	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	1.7	115155	1.7	115155	1.7	115155	1.7	115155	1.7	115155	1.7	115155		999999		999999		999999		999999		999999		999999		999999	4.76	115555	5.35	115555		999999		999999	AAXX 01091 99369 46/// /1701 11018 21033 37958 40250 57013 333 70012 555 11023 29089 66666 00017 10017 20017 30017 50017 90017=
9-Smiley face	99369	2024-02-01 10:00:00	-0.8	111115	-3.0	111115		999999		999999		999999		999999	160	111515	2	111115		999999		999999		999999		999999	1022.9	111115	794.9	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /1601 11008 21030 37949 40229 55019 333 6//// 555 11015 29085
10-Smiley face	99369	2024-02-01 11:00:00	0.8	313115	-2.3	111115		999999		999999		999999		999999	190	111515	2	111115		999999		999999		999999		999999	1021.0	111115	794.4	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /1901 10008 21023 37944 40210 57018 333 69935 555 11005 29080
